0,Nome da UC,Categoria,CH – Total,Pré-Requisitos,Semestre,,
77,Empreendedorismo em Biotecnologia,Interdisciplinar,36,Não há,IMPAR,,
78,Engenharia Bioquímica I,Eletiva,72,Fundamentos de Engenharia Bioquímica; Microbiologia Geral,IMPAR,,
79,Engenharia Bioquímica II,Eletiva,72,Engenharia Bioquímica I,nan,,
80,Engenharia Cerâmica,Eletiva,72,Processamento de Materiais Cerâmicos,nan,,
81,Engenharia Clínica Hospitalar Aplicada,Eletiva,72,Não há,nan,,
82,Engenharia de Software,Eletiva,72,Programação Orientada a Objetos,nan,,
83,Engenharia Médica Aplicada,Eletiva,72,"Fisiologia Humana; Análise de Sinais; Imagens Biomédicas; Transdução de
Grandezas Biomédicas",nan,,
84,Engenharia Tecidual e Biofabricação,Eletiva,36,Fisiologia Humana,nan,,
85,Engenharia Tecidual e Medicina Regenerativa,Interdisciplinar,72,Biologia Molecular da Célula; Fisiologia Humana,nan,,
86,Ensaios de Materiais,Eletiva,72,Ciência e Tecnologia dos Materiais,nan,,
87,Equações Diferenciais Ordinárias,Eletiva,72,Álgebra Linear; Séries e Equações Diferenciais Ordinárias,nan,,
88,Equações Diferenciais Parciais,Eletiva,72,Cálculo em Várias Variáveis; Séries e Equações Diferenciais Ordinárias,IMPAR,,
89,Espaços Métricos,Eletiva,72,Cálculo em Várias Variáveis,IMPAR,,
90,Estatística Matemática,Eletiva,72,Probabilidade,nan,,
91,Estrutura e Propriedades de Polímeros,Eletiva,72,Materiais Poliméricos,nan,,
92,Farmacologia Molecular,Eletiva,36,Não há,nan,,
93,Fenômenos de Transporte,Eletiva,72,Séries e Equações Diferenciais Ordinárias; Mecânica Geral,IMPAR,,
94,Fenômenos do Contínuo,Eletiva,72,Não há,IMPAR,,
95,Fenômenos do Contínuo Experimental,Eletiva,36,Não Há,nan,,
96,Fenômenos Eletromagnéticos,Eletiva,72,Não há,nan,,
97,Fenômenos Eletromagnéticos Experimental,Eletiva,36,Não há,IMPAR,,
98,Fenômenos Mecânicos,Fixa,72,Não há,nan,,
99,Fenômenos Mecânicos Experimental,Eletiva,36,Não há,IMPAR,,
100,Física Geral,Eletiva,72,Fenômenos Mecânicos,IMPAR,,
101,Física Moderna,Eletiva,72,"FenômenosMecânicos;FenômenosdoContínuo;Fenômenos
Eletromagnéticos",IMPAR,,
102,Física Moderna Experimental,Eletiva,72,"FenômenosMecânicos;FenômenosdoContínuo;Fenômenos
Eletromagnéticos Experimental",nan,,
103,Fisiologia Experimental,Eletiva,72,Fisiologia Humana,nan,,
104,Fisiologia Humana,Eletiva,72,Não há,nan,,
105,Fisiopatologia Cardiorrespiratória,Eletiva,36,Não há,nan,,
106,Fisiopatologia Clínica dos Sistemas Humanos,Eletiva,72,Fisiologia Humana,nan,,
107,Fluxos em Redes,Interdisciplinar,72,Otimização Linear,nan,,
108,Funções Analíticas,Eletiva,72,Cálculo em Várias Variáveis; Séries e Equações Diferenciais Ordinárias,nan,,
109,Fundamentos de Biologia Moderna,Fixa,72,Não há,IMPAR,,
110,Fundamentos de Engenharia Bioquímica,Eletiva,72,Matemática Geral; Física Geral,nan,,
111,Fundamentos de Matlab Aplicado à Engenharia,Eletiva,72,Não há,nan,,
112,Fundamentos de Mecânica Celeste,Interdisciplinar,72,Fenômenos Mecânicos; Séries e Equações Diferenciais Ordinárias,nan,,
113,Fundamentos de Metalurgia I,Eletiva,72,Ciência e Tecnologia dos Materiais,nan,,
114,Fundamentos de Metalurgia II,Eletiva,72,Ciência e Tecnologia dos Materiais; Resistência dos Materiais,nan,,
115,Geometria Analítica,Eletiva,72,Não há,nan,,
116,Gestão de Projetos,Eletiva,36,Não há,IMPAR,,
117,Imagens Biomédicas,Eletiva,72,Análise de Sinais,IMPAR,,
118,Imunologia Aplicada,Eletiva,72,Imunologia Geral,nan,,
119,Imunologia Geral,Eletiva,72,Biologia Molecular da Célula,IMPAR,,
120,Inferência e Análise de Regressão,Eletiva,72,Probabilidade,nan,,
121,Instrumentos Biomédicos I,Eletiva,72,Circuitos Elétricos II,nan,,
122,Instrumentos Biomédicos II,Eletiva,72,Circuitos Elétricos II,nan,,
123,Inteligência Artificial,Eletiva,72,Algoritmos e Estruturas de Dados I,IMPAR,,
124,Interação Humano-Computador,Eletiva,72,Programação Orientada a Objetos,nan,,
125,Introdução  à Ecologia,Interdisciplinar,72,Não há,nan,,
126,Introdução à Aeroelasticidade,Interdisciplinar,72,Fenômenos Mecânicos; Cálculo Numérico,nan,,
127,Introdução à Análise Funcional,Eletiva,72,Análise Real II,nan,,
128,Introdução à Bioinformática,Interdisciplinar,72,Biologia Molecular da Célula; Lógica de Programação,IMPAR,,
129,Introdução à Biologia de Sistemas,Interdisciplinar,72,Biologia Molecular da Célula,nan,,
130,Introdução à Biotecnologia,Interdisciplinar,36,Não há,nan,,
131,Introdução à Economia Global,Eletiva,36,Não há,nan,,
132,Introdução à Eletrotécnica,Eletiva,36,Circuitos Elétricos II,nan,,
133,Introdução à Engenharia Biomédica,Eletiva,36,Não há,nan,,
134,Introdução à Engenharia de Materiais,Eletiva,36,Não há,nan,,
135,Introdução à Engenharia Financeira,Eletiva,72,Cálculo em Várias Variáveis; Probabilidade e Estatística,nan,,
136,Introdução à Geometria Diferencial,Eletiva,72,Cálculo em Várias Variáveis,nan,,
137,Introdução à Lógica Fuzzy,Eletiva,72,Não há,nan,,
138,Introdução à Nanotecnologia,Interdisciplinar,36,Não há,nan,,
139,Introdução à Pesquisa Operacional,Eletiva,72,Álgebra Linear,nan,,
140,Introdução às Redes Neurais Artificiais,Eletiva,72,Algoritmos e Estruturas de Dados I,nan,,
141,Laboratório de Biologia Molecular e Celular,Interdisciplinar,36,Biologia Molecular da Célula,nan,,
142,Laboratório de Bioquímica,Interdisciplinar,72,Bioquímica I; Biologia Molecular do Gene,IMPAR,,
143,Laboratório de Bioquímica Analítica,Eletiva,36,Bioquímica Analítica,nan,,
144,Laboratório de Circuitos Elétricos,Eletiva,36,Fenômenos Eletromagnéticos; Circuitos Elétricos I,IMPAR,,
145,Laboratório de Eletrônica Digital,Eletiva,36,Circuitos Digitais,nan,,
146,Laboratório de Engenharia Bioquímica,Interdisciplinar,36,Engenharia Bioquímica I,nan,,
147,Laboratório de Estatística Aplicada,Eletiva,72,Inferência e Análise de Regressão; Probabilidade,nan,,
148,Laboratório de Microbiologia,Interdisciplinar,36,Microbiologia Geral,nan,,
149,Laboratório de Sistemas Computacionais: Arquitetura e Organização de Computadores,Eletiva,72, Arquitetura e Organização de Computadores; Laboratório de Sistemas Computacionais: Circuitos Digitais,IMPAR,,
150,Laboratório de Sistemas Computacionais: Circuitos Digitais,Eletiva,36,Circuitos Digitais,nan,,
151,Laboratório de Sistemas Computacionais: Compiladores,Eletiva,72,Compiladores;Laboratório de Sistemas Computacionais: Engenharia de Sistemas,IMPAR,,
