Nome da UC,Categoria,CH – Total,Pré-Requisitos,Some Text
Engenharia de Software,Eletiva,72,Programação Orientada a Objetos,Some Text
Engenharia Médica Aplicada,Eletiva,72,"Fisiologia Humana; Análise de Sinais; Imagens Biomédicas; Transdução de
Grandezas Biomédicas",Some Text
Engenharia Tecidual e Biofabricação,Eletiva,36,Fisiologia Humana,Some Text
Engenharia Tecidual e Medicina Regenerativa,Interdisciplinar,72,Biologia Molecular da Célula; Fisiologia Humana,Some Text
Ensaios de Materiais,Eletiva,72,Ciência e Tecnologia dos Materiais,Some Text
Equações Diferenciais Ordinárias,Eletiva,72,Álgebra Linear; Séries e Equações Diferenciais Ordinárias,Some Text
Equações Diferenciais Parciais,Eletiva,72,Cálculo em Várias Variáveis; Séries e Equações Diferenciais Ordinárias,Some Text
Espaços Métricos,Eletiva,72,Cálculo em Várias Variáveis,Some Text
Estatística Matemática,Eletiva,72,Probabilidade,Some Text
Estrutura e Propriedades de Polímeros,Eletiva,72,Materiais Poliméricos,Some Text
Farmacologia Molecular,Eletiva,36,Não há,Some Text
Fenômenos de Transporte,Eletiva,72,Séries e Equações Diferenciais Ordinárias; Mecânica Geral,Some Text
Fenômenos do Contínuo,Eletiva,72,Não há,Some Text
Fenômenos do Contínuo Experimental,Eletiva,36,Não Há,Some Text
Fenômenos Eletromagnéticos,Eletiva,72,Não há,Some Text
Fenômenos Eletromagnéticos Experimental,Eletiva,36,Não há,Some Text
Fenômenos Mecânicos,Fixa,72,Não há,Some Text
Fenômenos Mecânicos Experimental,Eletiva,36,Não há,Some Text
Física Geral,Eletiva,72,Fenômenos Mecânicos,Some Text
Física Moderna,Eletiva,72,"FenômenosMecânicos;FenômenosdoContínuo;Fenômenos
Eletromagnéticos",Some Text
Física Moderna Experimental,Eletiva,72,"FenômenosMecânicos;FenômenosdoContínuo;Fenômenos
Eletromagnéticos Experimental",Some Text
Fisiologia Experimental,Eletiva,72,Fisiologia Humana,Some Text
Fisiologia Humana,Eletiva,72,Não há,Some Text
Fisiopatologia Cardiorrespiratória,Eletiva,36,Não há,Some Text
Fisiopatologia Clínica dos Sistemas Humanos,Eletiva,72,Fisiologia Humana,Some Text
Fluxos em Redes,Interdisciplinar,72,Otimização Linear,Some Text
Funções Analíticas,Eletiva,72,Cálculo em Várias Variáveis; Séries e Equações Diferenciais Ordinárias,Some Text
Fundamentos de Biologia Moderna,Fixa,72,Não há,Some Text
Fundamentos de Engenharia Bioquímica,Eletiva,72,Matemática Geral; Física Geral,Some Text
Fundamentos de Matlab Aplicado à Engenharia,Eletiva,72,Não há,Some Text
Fundamentos de Mecânica Celeste,Interdisciplinar,72,Fenômenos Mecânicos; Séries e Equações Diferenciais Ordinárias,Some Text
Fundamentos de Metalurgia I,Eletiva,72,Ciência e Tecnologia dos Materiais,Some Text
Fundamentos de Metalurgia II,Eletiva,72,Ciência e Tecnologia dos Materiais; Resistência dos Materiais,Some Text
Geometria Analítica,Eletiva,72,Não há,Some Text
Gestão de Projetos,Eletiva,36,Não há,Some Text
Imagens Biomédicas,Eletiva,72,Análise de Sinais,Some Text
Imunologia Aplicada,Eletiva,72,Imunologia Geral,Some Text
Imunologia Geral,Eletiva,72,Biologia Molecular da Célula,Some Text
Inferência e Análise de Regressão,Eletiva,72,Probabilidade,Some Text
Instrumentos Biomédicos I,Eletiva,72,Circuitos Elétricos II,Some Text
Instrumentos Biomédicos II,Eletiva,72,Circuitos Elétricos II,Some Text
Inteligência Artificial,Eletiva,72,Algoritmos e Estruturas de Dados I,Some Text
Interação Humano-Computador,Eletiva,72,Programação Orientada a Objetos,Some Text
Introdução  à Ecologia,Interdisciplinar,72,Não há,Some Text
Introdução à Aeroelasticidade,Interdisciplinar,72,Fenômenos Mecânicos; Cálculo Numérico,Some Text
Introdução à Análise Funcional,Eletiva,72,Análise Real II,Some Text
Introdução à Bioinformática,Interdisciplinar,72,Biologia Molecular da Célula; Lógica de Programação,Some Text
Introdução à Biologia de Sistemas,Interdisciplinar,72,Biologia Molecular da Célula,Some Text
Introdução à Biotecnologia,,,,,Interdisciplinar,36,Não há,,Some Text
Introdução à Economia Global,,,,,Eletiva,36,Não há,,Some Text
Introdução à Eletrotécnica,,,,,Eletiva,36,Circuitos Elétricos II,,Some Text
Introdução à Engenharia Biomédica,,,,,Eletiva,36,Não há,,Some Text
Introdução à Engenharia de Materiais,,,,,Eletiva,36,Não há,,Some Text
Introdução à Engenharia Financeira,,,,,Eletiva,72,Cálculo em Várias Variáveis; Probabilidade e Estatística,,Some Text
Introdução à Geometria Diferencial,,,,,Eletiva,72,Cálculo em Várias Variáveis,,Some Text
Introdução à Lógica Fuzzy,,,,,Eletiva,72,Não há,,Some Text
Introdução à Nanotecnologia,,,,,Interdisciplinar,36,Não há,,Some Text
Introdução à Pesquisa Operacional,,,,,Eletiva,72,Álgebra Linear,,Some Text
Introdução às Redes Neurais Artificiais,,,,,Eletiva,72,Algoritmos e Estruturas de Dados I,,Some Text
Laboratório de Biologia Molecular e Celular,,,,,Interdisciplinar,36,Biologia Molecular da Célula,,Some Text
Laboratório de Bioquímica,,,,,Interdisciplinar,72,Bioquímica I; Biologia Molecular do Gene,,Some Text
Laboratório de Bioquímica Analítica,,,,,Eletiva,36,Bioquímica Analítica,,Some Text
Laboratório de Circuitos Elétricos,,,,,Eletiva,36,Fenômenos Eletromagnéticos; Circuitos Elétricos I,,Some Text
Laboratório de Eletrônica Digital,,,,,Eletiva,36,Circuitos Digitais,,Some Text
Laboratório de Engenharia Bioquímica,,,,,Interdisciplinar,36,Engenharia Bioquímica I,,Some Text
Laboratório de Estatística Aplicada,,,,,Eletiva,72,Inferência e Análise de Regressão; Probabilidade,,Some Text
